id,title,description,status,needs_review,svg_path,bbox_x,bbox_y,bbox_w,bbox_h,crop_x,crop_y,crop_w,crop_h,center_x,center_y,tile,display_area
lincoln-homestead-sign,Lincoln Homestead sign,"A small sign in the upper-left corner labels the Lincoln Homestead, setting off one of the rural history vignettes around the edge of the Harrisonburg scene.",draft,False,M 158 283 L 222 283 L 222 232 L 158 232 Z,158.0,232.0,64.0,51.0,103,177,174,161,190.0,257.5,tiles-edited/lincoln-homestead-sign.webp,3264.0
horse-drawn-wagon,Horse-drawn wagon,"A horse-drawn wagon moves along the upper-left roadway, part of the map's old-time rural imagery and transportation jokes.",draft,False,"m 148.58875,359.04041 91.68013,26.86291 131.26359,17.1318 -11.36027,-105.48678 -112.62915,-14.68542 -16,-53.87539 -69.66427,-0.38292 L 145,283 Z",145.0,228.6,226.53,174.44,73,156,371,320,249.7,322.8,tiles-edited/horse-drawn-wagon.webp,26063.41
red-barn-hillside,Red barn on hillside,"A red barn sits on the hillside near the top of the illustration, marking the agricultural landscape around Harrisonburg and Rockingham County.",draft,False,"m 337.86292,271.75171 101.80531,6.78702 -3.9828,-61.76721 -90.38295,-1.46546 z",337.86,215.31,101.81,63.23,282,160,213,174,390.3,246.2,tiles-edited/red-barn-hillside.webp,5686.91
fishing-boat-quote,Boat with “I don’t believe it!” gag,"A small fishing boat gag appears on the water with the caption, ""I don't believe it!"" The joke is one of the tiny comic scenes tucked into the map.",draft,False,"m 592.63444,166.77153 -14.31458,40.13708 -8.63627,51.4703 L 510,263 l -8.09471,61.15721 -38.63247,21.07639 -4.73775,30.70113 202.15048,6.46566 98.43164,-3.58789 0.34411,-29.63822 110.70073,0.76973 40.08846,-14.68363 -12.39831,-88.16513 C 833.63513,252.38336 773.8853,252.06698 710.2207,247.25 L 672,174 Z",458.54,166.77,451.71,215.63,314,22,741,505,678.6,297.7,tiles-edited/fishing-boat-quote.webp,57225.78
us-route-42-sign,U.S. Route 42 marker,The U.S. Route 42 marker identifies one of the major roads threading through the illustrated town-and-county landscape.,draft,False,"m 406.7821,406.2179 46.2232,-4.68014 4.81721,-88.89803 -50.1318,-2.9543 z",406.78,309.69,51.04,96.53,351,254,162,208,431.0,356.9,tiles-edited/us-route-42-sign.webp,4464.32
poultry-festival-animals,Poultry Festival animals,"A group of animals stands near the Poultry Festival reference, nodding to the region's poultry industry and festival culture.",draft,False,"m 928.10305,263.67278 6.26251,44.99678 16.54444,8.40044 286.139,-8.02431 -12.1344,-92.21525 -35.6506,-20.34139 -16.5646,-47.06193 -216.20733,20.26888 z",928.1,149.43,308.95,167.64,830,51,506,365,1079.3,240.6,tiles-edited/poultry-festival-animals.webp,42473.51
udderly-impossible-cow,“This is udderly impossible” cow,"A cow-centered visual pun reads as an ""udderly impossible"" gag, one of the map's playful animal jokes.",draft,False,"m 1252.0404,296.45166 42.0053,35.18278 72.0755,14.39539 72.8169,-20.74541 6.9698,-12.15666 51.1277,4.83386 5.3211,-36.20128 -70.069,0.0623 -30.9425,-8.52641 -13.0705,-53.19177 -107.2588,-35.50516 -52.3761,19.1775 z",1228.64,184.6,273.72,161.43,1141,97,449,337,1341.3,271.5,tiles-edited/udderly-impossible-cow.webp,24428.21
court-square-village-sign,Court Square Village storefront sign,"A storefront sign identifies Court Square Village, placing the viewer near the downtown commercial core.",draft,False,"m 1355.0967,478.36556 v -76.8321 l -8.7259,-51.30499 -158.2775,-11.06735 -244.30208,23.09915 3.58386,77.80467 55.21642,51.53247 49.4508,-12.27755 z",943.79,339.16,411.31,152.44,812,208,675,415,1155.2,413.3,tiles-edited/court-square-village-sign.webp,52764.27
eastern-mennonite-college,Eastern Mennonite College buildings,"This cluster marks Eastern Mennonite College, now Eastern Mennonite University, with campus buildings drawn into the upper-right portion of the map.",draft,False,"m 1454.99,277.14 65.0398,-1.09431 -4.0351,37.54834 25.7395,33.60346 46.6102,40.71112 107.2989,-6.87445 26.1719,-23.5825 c 0,0 54.2952,-50.92764 54.0415,-46.21444 L 1782,205 l -100.7662,-3.09007 -75.9544,-47.9424 -36.8278,33.17353 -116.9894,16.95033 z",1451.46,153.97,330.54,233.94,1346,48,541,445,1626.3,273.2,tiles-edited/eastern-mennonite-college.webp,50551.75
hawk-or-eagle-upper-right,Large bird above Eastern Mennonite College,"A large bird flies above the Eastern Mennonite College area, functioning as a small visual landmark in the upper-right sky.",draft,False,"m 1764.322,353.10166 -35.9617,4.07583 -42.3066,37.81457 2.5456,32.08875 37.2993,-0.1186 -12.2237,38.80403 70.884,10.22847 35.8858,-52.56061 72.1493,-5.79966 5.6318,-39.09403 -54.4424,-1.41522 60.0742,-37.67882 c 0,0 -73.4788,-16.55989 -77.4834,-16.17749 z",1686.05,322.89,217.81,153.1,1617,253,356,292,1790.9,396.2,tiles-edited/hawk-or-eagle-upper-right.webp,19275.84
